Year,Value
201201,0.44
201202,0.45
201203,0.51
201204,0.73
201205,0.74
201206,0.72
201207,0.70
201208,0.70
201209,0.74
201210,0.70
201211,0.70
201212,0.47
201301,0.62
201302,0.66
201303,0.67
201304,0.59
201305,0.68
201306,0.69
201307,0.66
201308,0.68
201309,0.68
201310,0.66
201311,0.81
201312,0.67
201401,0.70
201402,0.49
201403,0.76
201404,0.80
201405,0.80
201406,0.77
201407,0.71
201408,0.82
201409,0.79
201410,0.76
201411,0.64
201412,0.81
201501,0.83
201502,0.87
201503,0.92
201504,0.81
201505,0.90
201506,0.91
201507,0.85
201508,0.91
201509,0.94
201510,1.03
201511,1.00
201512,1.15
201601,1.12
201602,1.26
201603,1.31
201604,1.12
201605,0.94
201606,0.93
201607,0.92
201608,0.98
201609,0.94
201610,0.79
201611,0.78
201612,0.83
201701,0.98
201702,1.02
201703,1.08
201704,0.92
201705,0.87
201706,0.84
201707,0.90
201708,0.92
201709,0.86
201710,0.81
201711,0.80
201712,0.87
201801,0.75
201802,0.76
201803,0.89
201804,0.85
201805,0.82
201806,0.78
201807,0.82
201808,0.80
201809,0.83
201810,0.92
201811,0.78
201812,0.88
201901,0.94
201902,0.85
201903,1.09
201904,0.97
201905,0.87
201906,0.95
201907,0.92
201908,0.92
201909,0.94
201910,0.94
201911,0.92
201912,1.05
202001,1.14
202002,1.16
202003,1.18
202004,1.05
202005,0.95
202006,0.92
202007,0.92
202008,0.93
202009,0.94
202010,0.82
202011,0.95
202012,0.78
202101,0.77
202102,0.64
202103,0.85
202104,0.79
202105,0.81
202106,0.89
202107,0.92
202108,0.89
202109,0.88
202110,0.88
202111,0.90
202112,0.83
202201,0.88
202202,0.80
202203,0.94
202204,0.85
202205,0.78
202206,0.88
202207,0.88
202208,0.90
202209,0.87
202210,0.89
