Unnamed: 0,Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),hard_mode_percentage,mean_tries,entropy with freq,has_duplicate,duplicate_count,letter_freq_sum,first_letter_freq
358,2022-01-07,202,slump,80630,1362,1,3,23,39,24,9,1,0.01689197569142999,4.13,4.514937272326842,0,0,382,51
357,2022-01-08,203,crank,101503,1763,1,5,23,31,24,14,2,0.017368944760253392,4.22,4.595244681557157,0,0,487,33
356,2022-01-09,204,gorge,91477,1913,1,3,13,27,30,22,4,0.020912360484056102,4.64,4.381783068179974,1,1,553,17
355,2022-01-10,205,query,107134,2242,1,4,16,30,30,17,2,0.02092706330389979,4.43,3.9991706808812335,0,0,448,3
354,2022-01-11,206,drink,153880,3017,1,9,35,34,16,5,1,0.019606186638939434,3.77,4.470440783723142,0,0,412,12
353,2022-01-12,207,favor,137586,3073,1,4,15,26,29,21,4,0.022335121305946826,4.57,4.268090412056551,0,0,484,22
352,2022-01-13,208,abbey,132726,3345,1,2,13,29,31,20,3,0.025202296460377017,4.56,3.9981296618810407,1,1,466,28
351,2022-01-14,209,tangy,169484,3985,1,4,21,30,24,15,5,0.02351254395695169,4.37,4.649492387448483,0,0,489,30
350,2022-01-15,210,panic,205880,4655,1,9,35,34,16,5,1,0.022610258402953175,3.77,4.716679298024068,0,0,483,23
349,2022-01-16,211,solar,209609,4955,1,9,32,32,18,7,1,0.023639252131349323,3.82,5.743181887456772,0,0,625,51
348,2022-01-17,212,shire,222197,5640,1,8,32,32,18,8,2,0.025382880956988617,3.93,5.464457693409524,0,0,576,51
347,2022-01-18,213,proxy,220950,6206,1,2,11,24,31,26,6,0.028087802670287397,4.87,3.882340991141335,0,0,400,23
346,2022-01-19,214,point,280622,7094,1,16,37,28,12,4,1,0.02527955755429011,3.47,4.838492838776702,0,0,516,23
345,2022-01-20,215,robot,243964,6589,1,8,29,34,20,8,1,0.027008083159810462,3.95,4.115057935119005,1,1,561,13
344,2022-01-21,216,prick,273727,7409,1,8,30,33,19,7,1,0.027067114314627348,3.83,4.181850316638119,0,0,405,23
343,2022-01-22,217,wince,241489,6850,1,3,17,33,29,15,3,0.02836568125256223,4.46,4.538990905466226,0,0,474,11
342,2022-01-23,218,crimp,269929,7630,1,5,28,38,20,7,1,0.02826669235243342,3.96,4.259350207857309,0,0,425,33
341,2022-01-24,219,knoll,258038,8317,1,1,11,29,33,21,4,0.032231686805819296,4.71,3.747631632271327,1,1,480,3
340,2022-01-25,220,sugar,276404,8708,1,6,25,34,23,9,1,0.03150460919523596,4.0,5.152094871254251,0,0,495,51
339,2022-01-26,221,whack,302348,10163,1,4,22,37,24,10,2,0.03361358434651461,4.17,3.6669272453164004,0,0,365,11
338,2022-01-27,222,mount,331844,11451,1,9,29,33,19,7,1,0.03450717807162402,3.82,4.607019864953495,0,0,470,20
337,2022-01-28,223,perky,296968,11148,1,4,17,30,27,17,4,0.037539398184316154,4.45,4.565975173955298,0,0,478,23
336,2022-01-29,224,could,313220,11592,1,7,29,35,20,8,1,0.037009130962262944,3.97,4.560436500906091,0,0,434,33
335,2022-01-30,225,wrung,294687,11524,0,2,18,39,27,12,2,0.03910589880110083,4.35,3.8869640670678653,0,0,367,11
334,2022-01-31,226,light,341314,13347,1,10,25,27,19,12,5,0.03910475398020591,4.06,4.245743938634077,0,0,464,13
