Word,entropy with freq,duplicate_count,letter_freq_sum,first_letter_freq,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),mean_tries
slump,4.514937272326842,0,382,51,1,3,23,39,24,9,1,4.06
crank,4.595244681557157,0,487,33,1,5,23,31,24,14,2,4.08
gorge,4.381783068179974,1,553,17,1,3,13,27,30,22,4,4.36
query,3.9991706808812335,0,448,3,1,4,16,30,30,17,2,4.29
drink,4.470440783723142,0,412,12,1,9,35,34,16,5,1,3.7
favor,4.268090412056551,0,484,22,1,4,15,26,29,21,4,4.29
abbey,3.9981296618810407,1,466,28,1,2,13,29,31,20,3,4.35
tangy,4.649492387448483,0,489,30,1,4,21,30,24,15,5,4.02
panic,4.716679298024068,0,483,23,1,9,35,34,16,5,1,3.7
solar,5.743181887456772,0,625,51,1,9,32,32,18,7,1,3.75
shire,5.464457693409524,0,576,51,1,8,32,32,18,8,2,3.79
proxy,3.882340991141335,0,400,23,1,2,11,24,31,26,6,4.45
point,4.838492838776702,0,516,23,1,16,37,28,12,4,1,3.4
robot,4.115057935119005,1,561,13,1,8,29,34,20,8,1,3.88
prick,4.181850316638119,0,405,23,1,8,30,33,19,7,1,3.76
wince,4.538990905466226,0,474,11,1,3,17,33,29,15,3,4.25
crimp,4.259350207857309,0,425,33,1,5,28,38,20,7,1,3.89
knoll,3.747631632271327,1,480,3,1,1,11,29,33,21,4,4.43
sugar,5.152094871254251,0,495,51,1,6,25,34,23,9,1,3.93
whack,3.6669272453164,0,365,11,1,4,22,37,24,10,2,4.03
mount,4.607019864953495,0,470,20,1,9,29,33,19,7,1,3.75
perky,4.565975173955298,0,478,23,1,4,17,30,27,17,4,4.17
could,4.560436500906091,0,434,33,1,7,29,35,20,8,1,3.9
wrung,3.886964067067865,0,367,11,0,2,18,39,27,12,2,4.21
light,4.245743938634077,0,464,13,1,10,25,27,19,12,5,3.71
those,5.208686446727207,0,604,30,1,13,34,30,15,6,1,3.6
moist,5.078034625961311,0,506,20,3,13,32,29,16,7,1,3.63
shard,5.165312492810795,0,504,51,1,7,22,28,25,14,4,4.02
pleat,5.148672701424032,0,649,23,1,10,28,31,19,9,2,3.78
aloft,4.631696606013419,0,567,28,1,4,22,36,25,11,2,4.1
skill,4.148628624960396,1,447,51,1,3,17,33,27,16,3,4.21
elder,4.53347802654769,1,668,10,1,3,13,24,30,24,5,4.36
frame,4.8479008825664165,0,565,22,1,10,20,24,24,17,3,3.99
humor,4.393619105751934,0,456,11,1,5,22,34,25,11,2,4.04
pause,5.374856045531391,0,558,23,1,8,26,32,21,10,2,3.88
ulcer,4.834050845425765,0,565,8,1,4,18,30,28,16,3,4.19
ultra,4.916074224894983,0,599,8,1,7,23,34,24,10,1,4.0
robin,4.750404901889143,0,487,13,1,6,29,34,21,8,1,3.89
cynic,3.5150621437484046,1,392,33,1,6,25,33,22,11,2,3.96
aroma,4.457878048693403,1,640,28,1,6,25,33,22,11,2,3.96
caulk,4.489015667989414,0,441,33,1,4,20,31,26,15,3,4.13
shake,5.179663856875875,0,535,51,1,6,16,23,24,21,9,3.99
dodge,4.075319861765811,1,476,12,1,3,15,29,27,19,7,4.17
swill,4.06115676714676,1,442,51,1,1,8,19,31,30,10,4.38
tacit,4.354786514973257,1,591,30,1,4,21,32,26,14,3,4.14
other,4.865554717978887,0,651,4,1,9,26,30,21,10,2,3.82
thorn,4.709607944487043,0,555,30,1,14,38,30,12,4,0,3.47
trove,4.8218697255858025,0,606,30,1,5,16,24,25,22,8,4.12
bloke,4.621836685133417,0,495,20,1,6,21,32,25,12,2,4.01
vivid,2.565394050211667,2,306,6,1,2,10,29,33,21,4,4.42
spill,4.278925109960684,1,476,51,1,5,26,34,22,10,2,3.95
chant,4.553630789480175,0,518,33,1,9,33,33,16,7,1,3.72
choke,4.412294515497698,0,493,33,1,8,30,36,18,6,1,3.77
rupee,4.561204695013479,1,630,13,1,2,17,35,30,13,2,4.24
nasty,5.1050794707195895,0,525,6,1,7,26,31,21,11,2,3.88
mourn,4.682027282710411,0,474,20,1,8,29,34,19,8,1,3.83
ahead,4.372205425608123,1,626,28,1,5,20,35,26,12,2,4.13
